Index,Star Name,Distance,Mass,Radius,Gravity
4,Arcturus,37.0,2.1879e+30,18088200000.0,0.44629597278924754
5,Vega,25.0,4.3758e+30,1878390000.0000002,82.76984296448046
6,Capella,43.0,5.1714e+30,8348400000.0,4.952082081908975
8,Procyon,11.4,2.9835e+30,1321830000.0,113.9622554541166
14,Aldebaran,65.0,2.9835e+30,30610800000.0,0.21250193294905007
17,Pollux,34.0,3.7790999999999997e+30,6122160000.000001,6.729227876719916
21,Regulus,77.0,7.558199999999999e+30,2156670000.0,108.45190567600218
24,Castor,52.0,5.5692e+30,1669680000.0,133.3252868206262
25,Gacrux,88.0,2.9835e+30,58438800000.0,0.058305519017766566
32,Alioth,81.0,5.7681e+30,2921940000.0,45.08960137373948
41,Menkalinan,81.0,4.75371e+30,1927089000.0,85.43097080483021
45,Alsephina[2],80.0,4.7735999999999997e+30,2017530000.0,78.26943965552645
54,Ran,10.48,1.6309799999999997e+30,514818000.0,410.70254272616984
63,61 Cygni,11.41,1.3923e+30,462640500.0,434.1419255394917
70,Lacaille 8760,12.87,1.1933999999999999e+30,354807000.0,632.685493563031
78,Barnard's Star,5.98,2.7846e+29,139140000.0,959.9420651085089
79,Luhman 16,6.52,7.956e+28,13914000.0,27426.9161459574
80,Proxima Centauri,4.25,2.3868e+29,104355000.0,1462.7688611177277
87,Gliese 1214,47.5,3.1824e+29,146097000.0,995.0808579032163
89,VB 10,18.72,1.4917499999999999e+29,69570000.0,2057.0187109468043
91,TRAPPIST-1,39.6,1.77021e+29,83484000.0,1695.1357895765336
92,2MASS J0523-1403,40.3,1.3923e+29,59830199.99999999,2595.841171196618
93,WISE 0855âˆ’0714,7.27,5.967e+27,59830199.99999999,111.25033590842646
95,SDSS J000013.54+255418.6Â [de],46.1,9.1136425536e+28,70777296.90900001,1214.200056936461
97,2MASS J00242463-0158201,37.7,1.49995367028e+29,77926518.81899999,1648.5172507306947
99,2MASSW J0030300-145033,87.2,1.02528478728e+29,70062374.71800001,1393.9943359838123
101,2MASS J00345157+0523050,31.0,7.9744372344e+28,67202685.954,1178.4549471797168
102,2MASS 0036+1821,28.6,7.9744372344e+28,67202685.954,1178.4549471797168
105,2MASS J00501994-3322402Â [de],34.0,7.594702128e+28,67202685.954,1122.3380449330632
106,2MASS J00584253-0651239Â [de],96.0,5.5061590428e+28,102233873.31300001,351.5971318717637
107,2MASSI J0103320+193536,70.0,9.873112766399999e+28,70062374.71800001,1342.3649161325598
108,SDSSp J010752.33+004156.1Â [de],51.0,9.873112766399999e+28,70062374.71800001,1342.3649161325598
111,SDSS J015141.69+124429.6,70.0,8.923775000399998e+28,69347452.527,1238.4366334263516
116,2MASS J02431371âˆ’2453298,35.0,6.265629255599999e+28,70777296.90900001,834.7625391438166
117,LP 771-21,53.0,1.48096691496e+29,77211596.628,1657.9311541328584
118,Teegarden's star,12.578,1.5189404256e+29,90795118.257,1229.7078510792417
120,WISE J0254+0223,24.0,1.2341390958e+29,135835216.29,446.40140770557866
121,DEN 0255-4700,16.2,1.5189404256e+29,69347452.527,2107.9772483852794
122,2MASS J03185403-3421292Â [de],45.0,9.3035101068e+28,69347452.527,1291.1360646359838
123,2MASS J03205965+1854233,47.0,1.67083446816e+29,82216051.965,1649.7053854867902
125,SDSS J032553.17+042540.1,59.0,8.544039894e+28,67917608.145,1236.1885136462176
127,2MASS J03284265+2302051Â [de],98.0,1.02528478728e+29,70062374.71800001,1393.9943359838123
128,2MASS J03341218-4953322,27.0,1.3860331383600002e+29,74351907.864,1673.3068242582378
129,LP 944-20,20.9,1.3860331383600002e+29,102233873.31300001,885.0548491944395
130,2MASP J0345432+254023,88.0,1.40501989368e+29,75066830.055,1664.073567827919
132,2MASS J03510004-0052452,48.0,1.93664904264e+29,90795118.257,1567.8775101260333
